Time,Open,High,Low,Close,Volume,EMA9,EMA21,EMA220
2012-12-30,19:57:00,4320,4320,4319.75,4320,7,4320.1574904257,4319.95685552722,4320.22142462909
2012-12-30,19:58:00,4320,4320.5,4319.5,4319.5,52,4320.02599234056,4319.91532320657,4320.21489589942
2012-12-30,19:59:00,4320.25,4320.5,4320,4320,4,4320.02079387245,4319.92302109688,4320.21295114015
2012-12-30,20:00:00,4320.5,4320.75,4320.5,4320.75,21,4320.16663509796,4319.99820099716,4320.21781131082
2012-12-30,20:01:00,4320.25,4320.25,4319.25,4319.25,4,4319.98330807837,4319.93018272469,4320.20905283742
2012-12-30,20:03:00,4319.25,4319.25,4319.25,4319.25,4,4319.83664646269,4319.86834793154,4320.20037362623
2012-12-30,20:04:00,4319,4319.25,4319,4319.25,2,4319.71931717015,4319.81213448322,4320.19177295993
2012-12-30,20:05:00,4319.25,4319.25,4319.25,4319.25,2,4319.62545373612,4319.76103134838,4320.18325012771
2012-12-30,20:06:00,4318.75,4318.75,4318.75,4318.75,1,4319.4503629889,4319.66911940762,4320.17027953832
2012-12-30,20:07:00,4319.25,4319.25,4319.25,4319.25,6,4319.41029039112,4319.63101764329,4320.16195121671
2012-12-30,20:08:00,4319,4319,4319,4319,1,4319.3282323129,4319.57365240299,4320.15143582108
2012-12-30,20:12:00,4319,4319,4319,4319,1,4319.26258585032,4319.52150218454,4320.1410155874
2012-12-30,20:13:00,4319,4319,4318.75,4318.75,3,4319.16006868025,4319.4513656223,4320.12842721105
2012-12-30,20:15:00,4318.75,4318.75,4318.5,4318.5,9,4319.0280549442,4319.36487783846,4320.11369031321
2012-12-30,20:16:00,4318.5,4318.5,4318.5,4318.5,2,4318.92244395536,4319.28625258042,4320.09908678096
2012-12-30,20:18:00,4318.5,4318.5,4318.5,4318.5,1,4318.83795516429,4319.21477507311,4320.08461540738
2012-12-30,20:19:00,4318.75,4318.75,4318.5,4318.5,2,4318.77036413143,4319.14979552101,4320.07027499646
2012-12-30,20:20:00,4318.75,4318.75,4318.75,4318.75,1,4318.76629130515,4319.11345047364,4320.05832680644
2012-12-30,20:21:00,4318.75,4319.25,4318.75,4319.25,7,4318.86303304412,4319.12586406695,4320.05101163172
2012-12-30,20:22:00,4319,4319,4319,4319,2,4318.89042643529,4319.11442187904,4320.04150021424
2012-12-30,20:23:00,4319,4319,4319,4319,1,4318.91234114824,4319.10401989004,4320.03207487294
2012-12-30,20:24:00,4318.75,4318.75,4318.75,4318.75,1,4318.87987291859,4319.07183626367,4320.0204723854
2012-12-30,20:25:00,4319,4319.25,4319,4319.25,4,4318.95389833487,4319.08803296697,4320.01349978463
2012-12-30,20:26:00,4319.75,4319.75,4319.75,4319.75,2,4319.1131186679,4319.14821178816,4320.01111517119
2012-12-30,20:28:00,4319.5,4319.5,4319.5,4319.5,2,4319.19049493432,4319.18019253469,4320.00648969453
2012-12-30,20:31:00,4318.75,4318.75,4318.5,4318.75,30,4319.10239594745,4319.14108412244,4319.99511874707
